tau [s],AS [V],ASD [V/√Hz],PSD [dB/Hz]
-2.7777777777777776e-07,0.03122445026850767,0.04468479575068461,-34.8260946430359
-2.7723524305555553e-07,0.0329492358095855,0.04715310788921824,-34.59258918843481
-2.7669270833333335e-07,0.05139636120542888,0.07355248476894208,-32.66171892707098
-2.761501736111111e-07,0.05843206698646876,0.08362116726244187,-32.10453015921093
-2.756076388888889e-07,0.09053705641001557,0.12956608807393785,-30.20277894943831
-2.7506510416666666e-07,0.06778064322747049,0.09699976052178225,-31.45998579408233
-2.7452256944444444e-07,0.07858081739480512,0.1124557116302606,-30.817877232996743
-2.739800347222222e-07,0.06738325306599408,0.09643106201640568,-31.48552291698245
-2.734375e-07,0.0827671865052262,0.11844675541253699,-30.59246072783424
-2.728949652777778e-07,0.0899288231106995,0.12869565543173003,-30.23205355431135
-2.7235243055555557e-07,0.07482637614339199,0.10708279268261954,-31.030495525520777
-2.7180989583333334e-07,0.07256165002891089,0.10384178049548437,-31.16397115431245
-2.712673611111111e-07,0.04975562590809659,0.07120445554787436,-32.802620714345544
-2.707248263888889e-07,0.11425984507007117,0.16351537963217494,-29.192106344683477
-2.7018229166666665e-07,0.1653566331197921,0.23663915019926288,-27.58682644416359
-2.696397569444444e-07,0.05572174671498149,0.0797424726270235,-32.31079543477946
-2.6909722222222225e-07,0.015121993670758277,0.021640835714007732,-37.974952133601086
-2.685546875e-07,0.028200075292237607,0.040356662607395545,-35.26853997457428
-2.680121527777778e-07,0.10028624889882057,0.14351799663758477,-29.758628780245694
-2.6746961805555556e-07,0.0863018979234979,0.12350522262028113,-30.410839186299935
-2.6692708333333333e-07,0.010796651324842432,0.015450909626694938,-39.438151891471314
-2.663845486111111e-07,0.18521636005301448,0.2650600778391148,-27.094249202959624
-2.6584201388888887e-07,0.10958840432894236,0.1568301578401583,-29.37339661917602
-2.652994791666667e-07,0.19375087521072892,0.27727368170961203,-26.898605923381776
-2.6475694444444446e-07,0.17843143129397904,0.255350278205389,-27.256329061084635
-2.6421440972222223e-07,0.08733551855376306,0.12498442005530133,-30.35913362103961
-2.63671875e-07,0.044195825009963705,0.06324791618813706,-33.317230199646744
-2.631293402777778e-07,0.04942650383263771,0.07073345437435637,-32.831443734433634
-2.6258680555555554e-07,0.028734466000107768,0.041121420334974366,-35.18701134676786
-2.620442708333333e-07,0.1633748290119967,0.23380302302926684,-27.639191192578853
-2.615017361111111e-07,0.10728890872138631,0.1535393876049855,-29.46549437384478
-2.609592013888889e-07,0.20387093877622794,0.2917563377538198,-26.677489425702223
-2.604166666666667e-07,0.15553604520307096,0.22258506881634993,-27.852732133101444
-2.5987413194444445e-07,0.11568076068852208,0.16554882853658928,-29.138431295397282
-2.593315972222222e-07,0.10392684273857061,0.14872799043223955,-29.603765315434
-2.587890625e-07,0.03570873963100223,0.05110218829168752,-34.24329743627905
-2.5824652777777776e-07,0.0463542287318139,0.06633677215290223,-33.11014905881955
-2.5770399305555553e-07,0.18027664105961283,0.25799092746535934,-27.21164807677491
-2.5716145833333335e-07,0.09091109958798084,0.1301013750963061,-30.184873546388665
-2.566189236111111e-07,0.22165849090429346,0.3172118102092921,-26.314198931698677
-2.560763888888889e-07,0.13081832399265964,0.18721194569611432,-28.604356845407573
-2.5553385416666667e-07,0.17101058182597428,0.24473042293418792,-27.440812807324953
-2.5499131944444444e-07,0.07337155519978887,0.10500082242662788,-31.115765407396818
