 (-6.267332537039947476e-05-6.336432745867119339e-05j), (2.408363179301467039e-01+0.000000000000000000e+00j)
 (-6.212109323612720335e-05+6.341854705813046640e-05j), (2.418501276720914916e-01+0.000000000000000000e+00j)
 (-6.199237367693328062e-05+6.246292318825724416e-05j), (2.371190155430155933e-01+0.000000000000000000e+00j)
 (-6.059033927503201973e-05-6.368469662850623214e-05j), (2.425260008333879891e-01+0.000000000000000000e+00j)
 (-5.989945890207496062e-05+6.286226860441637384e-05j), (2.421880642527396987e-01+0.000000000000000000e+00j)
 (-5.968021673066050217e-05-6.018722903765543717e-05j), (2.381328252849604921e-01+0.000000000000000000e+00j)
 (-5.956908340969309796e-05+5.991889860842051450e-05j), (2.330637765752363866e-01+0.000000000000000000e+00j)
 (-5.944547294041907038e-05+6.010714408961783365e-05j), (2.398225081882018883e-01+0.000000000000000000e+00j)
 (-5.914374682211120515e-05+5.957183692461861353e-05j), (2.347534594784778106e-01+0.000000000000000000e+00j)
 (-5.896139618681299119e-05+5.935512188965788919e-05j), (2.364431423817165978e-01+0.000000000000000000e+00j)
 (-5.780441142769090454e-05+5.829787902750054978e-05j), (2.367810789623673862e-01+0.000000000000000000e+00j)
 (-5.778159381541293294e-05-5.831701874231658833e-05j), (2.377948887043122017e-01+0.000000000000000000e+00j)
 (-5.761001690418920870e-05+5.818090964322891414e-05j), (2.374569521236651881e-01+0.000000000000000000e+00j)
 (-5.738063744658414067e-05-5.838468001821774968e-05j), (2.432018739946850971e-01+0.000000000000000000e+00j)
 (-5.710932316470120805e-05+5.754656571262518980e-05j), (2.340775863171866977e-01+0.000000000000000000e+00j)
 (-5.669815960885812438e-05+5.710219821778433896e-05j), (2.340775863171812021e-01+0.000000000000000000e+00j)
 (-5.608646375288465027e-05-5.646722486699270202e-05j), (2.374569521236608027e-01+0.000000000000000000e+00j)
 (-5.595105208210808984e-05+5.655262962948368570e-05j), (2.388086984462576001e-01+0.000000000000000000e+00j)
 (-5.583062174561825272e-05-5.657187071126956203e-05j), (2.404983813494984135e-01+0.000000000000000000e+00j)
 (-5.582843025005728322e-05+6.094414072776293005e-05j), (2.415121910914432013e-01+0.000000000000000000e+00j)
 (-5.580142985880370002e-05+5.714312647865269038e-05j), (2.425260008333874062e-01+0.000000000000000000e+00j)
 (-5.562002622933182982e-05-5.598319811728323539e-05j), (2.367810789623673862e-01+0.000000000000000000e+00j)
 (-5.558355776723293307e-05-5.655855334027290362e-05j), (2.421880642527396987e-01+0.000000000000000000e+00j)
 (-5.552141078248587968e-05+5.599975902375952481e-05j), (2.371190155430168978e-01+0.000000000000000000e+00j)
 (-5.549481237082639831e-05+5.585223630764441166e-05j), (2.323879034139398891e-01+0.000000000000000000e+00j)
 (-5.543571255068838215e-05-5.594637512036543009e-05j), (2.377948887043110082e-01+0.000000000000000000e+00j)
 (-5.542893945767061797e-05-5.576220454248164506e-05j), (2.364431423817190958e-01+0.000000000000000000e+00j)
 (-5.524727309866195882e-05-5.658642458910605801e-05j), (2.421880642527396987e-01+0.000000000000000000e+00j)
 (-5.504868644798214822e-05-5.899229579319869150e-05j), (2.418501276720914916e-01+0.000000000000000000e+00j)
 (-5.492582985880785162e-05-5.535951944711639999e-05j), (2.357672692204225984e-01+0.000000000000000000e+00j)
 (-5.491588216315876391e-05-5.561358329878387814e-05j), (2.398225081882018883e-01+0.000000000000000000e+00j)
 (-5.488870179207207392e-05+5.619065616287680927e-05j), (2.432018739946844865e-01+0.000000000000000000e+00j)
 (-5.474581621635616610e-05+5.664492318930083192e-05j), (2.415121910914425907e-01+0.000000000000000000e+00j)
 (-5.447027239871700502e-05+5.522321503328637325e-05j), (2.408363179301467039e-01+0.000000000000000000e+00j)
 (-5.429899411522818014e-05+6.502347338382689283e-05j), (2.398225081882031096e-01+0.000000000000000000e+00j)
 (-5.428357508740127229e-05-5.508706147870891327e-05j), (2.411742545107943003e-01+0.000000000000000000e+00j)
 (-5.407277000291804171e-05+5.434676417562314823e-05j), (2.371190155430155933e-01+0.000000000000000000e+00j)
 (-5.389765767661972322e-05-5.495450009007577105e-05j), (2.421880642527396987e-01+0.000000000000000000e+00j)
 (-5.384159783170758159e-05+5.537025713548219803e-05j), (2.411742545107961044e-01+0.000000000000000000e+00j)
 (-5.371112383076977680e-05-5.416650624605651203e-05j), (2.364431423817136002e-01+0.000000000000000000e+00j)
 (-5.365842891134583911e-05-5.399089920584464137e-05j), (2.361052058010708055e-01+0.000000000000000000e+00j)
 (-5.328890837679954291e-05-5.388687651512362394e-05j), (2.377948887043122017e-01+0.000000000000000000e+00j)
 (-5.299375425043339007e-05+5.330152832974891782e-05j), (2.340775863171855042e-01+0.000000000000000000e+00j)
 (-5.292285400750265390e-05+5.367134023460677270e-05j), (2.398225081882018883e-01+0.000000000000000000e+00j)
 (-5.276393235206414096e-05-5.374088477350231048e-05j), (2.411742545107974089e-01+0.000000000000000000e+00j)
 (-5.269310564853921832e-05-5.321125433745569418e-05j), (2.367810789623673862e-01+0.000000000000000000e+00j)
 (-5.228688645741304909e-05-5.266380787416960062e-05j), (2.364431423817190958e-01+0.000000000000000000e+00j)
 (-5.225721074834558484e-05+5.278711159666763810e-05j), (2.367810789623686074e-01+0.000000000000000000e+00j)
 (-5.215412703648381287e-05-5.272926081015255747e-05j), (2.374569521236651881e-01+0.000000000000000000e+00j)
 (-5.210882882668506252e-05+5.312725853302970269e-05j), (2.421880642527385052e-01+0.000000000000000000e+00j)
 (-5.135460099142248423e-05+5.460614380653869049e-05j), (2.425260008333879891e-01+0.000000000000000000e+00j)
 (-5.132112970639122226e-05+5.221762679570548561e-05j), (2.411742545107954938e-01+0.000000000000000000e+00j)
 (-5.123179504637801439e-05+5.159428702943726747e-05j), (2.340775863171891957e-01+0.000000000000000000e+00j)
 (-5.072789911315304760e-05-5.195969131963841157e-05j), (2.432018739946844865e-01+0.000000000000000000e+00j)
 (-5.041852473955677616e-05+5.082881195230819254e-05j), (2.330637765752412993e-01+0.000000000000000000e+00j)
 (-5.034831885462784070e-05-5.076428433005223653e-05j), (2.354293326397743080e-01+0.000000000000000000e+00j)
 (-5.005304559014209784e-05-5.038975434328814621e-05j), (2.354293326397736974e-01+0.000000000000000000e+00j)
 (-4.999666677123769702e-05-5.277729060675839725e-05j), (2.418501276720921023e-01+0.000000000000000000e+00j)
 (-4.953276925416833252e-05-5.065769302069851251e-05j), (2.421880642527396987e-01+0.000000000000000000e+00j)
 (-4.940121501283016895e-05+4.975601949977853747e-05j), (2.323879034139398891e-01+0.000000000000000000e+00j)
 (-4.936658266357501639e-05-5.000173364460024805e-05j), (2.377948887043122017e-01+0.000000000000000000e+00j)
 (-4.917531181015677162e-05+5.041838234969245894e-05j), (2.418501276720914916e-01+0.000000000000000000e+00j)
 (-4.911840700085606538e-05-4.967780626660920756e-05j), (2.374569521236626901e-01+0.000000000000000000e+00j)
 (-4.880362455639881985e-05+5.433315714897189166e-05j), (2.415121910914438119e-01+0.000000000000000000e+00j)
 (-4.880012961708649381e-05+5.006583373059643856e-05j), (2.418501276720914916e-01+0.000000000000000000e+00j)
 (-4.867462191371947909e-05-5.300880944303167672e-05j), (2.421880642527390881e-01+0.000000000000000000e+00j)
 (-4.832492049426150238e-05+4.945444248517312020e-05j), (2.428639374140350027e-01+0.000000000000000000e+00j)
 (-4.830011341327555813e-05+4.864510704442235017e-05j), (2.344155228978294925e-01+0.000000000000000000e+00j)
 (-4.802383063160455185e-05+4.841720837531563322e-05j), (2.337396497365347992e-01+0.000000000000000000e+00j)
 (-4.800272081988159249e-05-4.996549503059436343e-05j), (2.415121910914432013e-01+0.000000000000000000e+00j)
 (-4.784924030572862625e-05+4.846629973465707027e-05j), (2.374569521236639114e-01+0.000000000000000000e+00j)
 (-4.753646952127084846e-05+4.827753508639913150e-05j), (2.391466350269053076e-01+0.000000000000000000e+00j)
 (-4.718303437874308290e-05-4.766466843067085644e-05j), (2.367810789623673862e-01+0.000000000000000000e+00j)
 (-4.689845682515228167e-05-4.740230881939620734e-05j), (2.364431423817190958e-01+0.000000000000000000e+00j)
 (-4.683887845992698741e-05-4.738946302680268014e-05j), (2.354293326397743080e-01+0.000000000000000000e+00j)
 (-4.663191173065003750e-05-4.757319857322792923e-05j), (2.408363179301472867e-01+0.000000000000000000e+00j)
 (-4.628888582015160000e-05-4.726298383513364356e-05j), (2.401604447688500954e-01+0.000000000000000000e+00j)
